Time (min)	Step (s)	Value (EU)
16.800000	0.5	-0.080625
16.808333	0.5	-0.078672
16.816667	0.5	-0.076133
16.825000	0.5	-0.073789
16.833333	0.5	-0.074571
16.841667	0.5	-0.078477
16.850000	0.5	-0.084532
16.858333	0.5	-0.089024
16.866667	0.5	-0.091563
16.875000	0.5	-0.093125
16.883333	0.5	-0.093711
16.891667	0.5	-0.093125
16.900000	0.5	-0.090586
16.908333	0.5	-0.086485
16.916667	0.5	-0.082188
16.925000	0.5	-0.080235
16.933333	0.5	-0.082774
16.941667	0.5	-0.087657
16.950000	0.5	-0.093125
16.958333	0.5	-0.097227
16.966667	0.5	-0.097813
16.975000	0.5	-0.094883
16.983333	0.5	-0.088828
16.991667	0.5	-0.082969
17.000000	0.5	-0.081797
17.008333	0.5	-0.088243
17.016667	0.5	-0.096836
17.025000	0.5	-0.102500
17.033333	0.5	-0.101719
17.041667	0.5	-0.096250
17.050000	0.5	-0.088828
17.058333	0.5	-0.083164
17.066667	0.5	-0.078477
17.075000	0.5	-0.072227
17.083333	0.5	-0.062266
17.091667	0.5	-0.047032
17.100000	0.5	-0.030235
17.108333	0.5	-0.017539
17.116667	0.5	-0.011485
17.125000	0.5	-0.008360
17.133333	0.5	-0.003086
17.141667	0.5	0.012343
17.150000	0.5	0.038711
17.158333	0.5	0.074257
17.166667	0.5	0.115078
17.175000	0.5	0.155312
17.183333	0.5	0.193593
17.191667	0.5	0.228359
17.200000	0.5	0.261757
17.208333	0.5	0.296328
17.216667	0.5	0.337148
17.225000	0.5	0.388711
17.233333	0.5	0.449648
17.241667	0.5	0.512343
17.250000	0.5	0.565468
17.258333	0.5	0.605312
17.266667	0.5	0.632070
17.275000	0.5	0.650234
17.283333	0.5	0.663711
17.291667	0.5	0.672500
17.300000	0.5	0.672304
17.308333	0.5	0.660390
17.316667	0.5	0.637539
17.325000	0.5	0.601992
17.333333	0.5	0.557851
17.341667	0.5	0.510586
17.350000	0.5	0.462148
17.358333	0.5	0.413125
17.366667	0.5	0.361757
17.375000	0.5	0.310000
17.383333	0.5	0.261172
17.391667	0.5	0.217031
17.400000	0.5	0.178359
17.408333	0.5	0.143203
17.416667	0.5	0.109218
17.425000	0.5	0.076406
17.433333	0.5	0.045351
17.441667	0.5	0.015468
17.450000	0.5	-0.012071
17.458333	0.5	-0.033360
17.466667	0.5	-0.049375
17.475000	0.5	-0.059727
17.483333	0.5	-0.065782
17.491667	0.5	-0.069688
17.500000	0.5	-0.072618
17.508333	0.5	-0.076719
17.516667	0.5	-0.084336
17.525000	0.5	-0.093516
17.533333	0.5	-0.100743
17.541667	0.5	-0.103672
17.550000	0.5	-0.101719
17.558333	0.5	-0.097813
17.566667	0.5	-0.095664
17.575000	0.5	-0.098008
17.583333	0.5	-0.104844
17.591667	0.5	-0.112266
17.600000	0.5	-0.116758
17.608333	0.5	-0.116368
17.616667	0.5	-0.113633
17.625000	0.5	-0.110118
17.633333	0.5	-0.107188
17.641667	0.5	-0.103477
17.650000	0.5	-0.098203
17.658333	0.5	-0.093907
17.666667	0.5	-0.091368
17.675000	0.5	-0.093711
17.683333	0.5	-0.100938
17.691667	0.5	-0.109532
17.700000	0.5	-0.113633
17.708333	0.5	-0.110703
17.716667	0.5	-0.104258
17.725000	0.5	-0.100157
17.733333	0.5	-0.101914
17.741667	0.5	-0.107188
17.750000	0.5	-0.111094
17.758333	0.5	-0.112657
17.766667	0.5	-0.114219
17.775000	0.5	-0.117539
17.783333	0.5	-0.122813
17.791667	0.5	-0.127110
17.800000	0.5	-0.128672
17.808333	0.5	-0.128086
17.816667	0.5	-0.125938
17.825000	0.5	-0.122032
17.833333	0.5	-0.119688
17.841667	0.5	-0.118516
17.850000	0.5	-0.117539
17.858333	0.5	-0.116172
17.866667	0.5	-0.114805
17.875000	0.5	-0.114610
17.883333	0.5	-0.114610
17.891667	0.5	-0.114219
17.900000	0.5	-0.112461
17.908333	0.5	-0.110703
17.916667	0.5	-0.111680
17.925000	0.5	-0.116172
17.933333	0.5	-0.121641
17.941667	0.5	-0.125743
17.950000	0.5	-0.125352
17.958333	0.5	-0.122422
17.966667	0.5	-0.123789
17.975000	0.5	-0.129453
17.983333	0.5	-0.136875
17.991667	0.5	-0.140977
18.000000	0.5	-0.140000
18.008333	0.5	-0.134922
18.016667	0.5	-0.128086
18.025000	0.5	-0.120469
18.033333	0.5	-0.115000
18.041667	0.5	-0.112852
18.050000	0.5	-0.114610
18.058333	0.5	-0.119297
18.066667	0.5	-0.126914
18.075000	0.5	-0.132188
18.083333	0.5	-0.134922
18.091667	0.5	-0.134727
18.100000	0.5	-0.134141
18.108333	0.5	-0.135118
18.116667	0.5	-0.137852
